Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2020-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Denmark,DNK,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,10.1298336,10.76824206,9.601393013,8.506064637,7.375312159,7.793171085,9.975400882,9.17904136,17.40792797,12.8382871,24.09300182,19.71163079,18.59017236,23.26546752,35.78351422,28.2555276,32.17281387,21.24615698,27.88729714,30.09900847,30.38910744,37.88216764,54.03600982,55.86439857,54.75935541,68.11616647,51.6686417,42.96459241,55.77403589,60.20927793,,,,,,,,,,,,,,,,
Dominican Republic,DOM,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.568740011,0.520705949,0.345522657,0.242866494,0.210236507,0.163014597,0.13733584,0.080576853,0.071684459,0.053397744,0.065637011,0.065410479,0.098274117,0.079808,0.084317281,0.078690962,0.086570351,0.258870621,0.207532568,0.211748365,,
East Asia & Pacific (excluding high income),EAP,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.8594864,32.59834475,27.63100592,47.72074016,115.728211,37.93993109,68.41296661,67.89120403,49.15227288,49.60343331,46.33773598,60.58290838,72.92041773,66.04282963,72.69314901,49.41469302,61.36225719,
Early-demographic dividend,EAR,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.22352942,34.55110704,25.03154057,38.76627424,27.27017492,22.14741829,23.14673509,35.06589019,44.56565546,50.2219771,60.46798201,81.25053071,35.0747403,63.52607557,65.50155242,45.46501232,53.08022161,53.55189853,56.03610379,51.79159857,53.86590516,65.24613838,55.49342344,82.9163084,
East Asia & Pacific,EAS,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,4.567061598,28.66064395,37.18021923,36.75814244,34.45990418,41.73960183,44.55312298,61.05796035,81.11149763,100.1888647,113.165277,123.9219978,82.28345068,76.78771296,57.52666632,74.43393282,77.57237528,68.25370585,70.24288302,51.94343551,65.87228639,103.1801388,70.56718726,63.62747807,60.49744421,70.97193888,75.40733576,86.25931166,102.4982272,132.7811771,60.72920496,92.32981287,94.74524347,70.65878581,75.52895739,82.42707758,89.72378754,99.76903581,94.49518179,110.9370542,83.34859212,97.49554125,
Europe & Central Asia (excluding high income),ECA,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.96144874,49.63854112,31.10000514,35.37987946,28.46735808,19.52616024,25.57813109,36.51793152,33.24600835,27.80069244,,
Europe & Central Asia,ECS,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,16.07538646,14.05018697,16.10315434,16.45192193,10.12463991,8.77739747,13.97843961,14.53397766,18.30802704,21.60946805,32.32991359,35.26701286,33.7872651,35.12786952,44.71596744,34.48376094,38.18392206,32.4136207,43.05155987,43.48337834,43.45762001,52.79991379,68.77345817,80.45902226,97.46878412,98.54800458,78.16683614,60.47206495,68.21838624,69.86524023,72.02973957,89.19221554,88.97604776,41.4731193,60.44675015,61.37051896,45.75482728,55.51222288,63.02336848,55.96291963,,64.68808456,75.02559978,,,
Ecuador,ECU,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.50060219,7.968241771,7.177388659,5.560738083,2.657127797,4.075783407,,,,,,,,,,,,,,,,,,,,
"Egypt, Arab Rep.",EGY,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0332362,106.7740791,52.80618481,48.22034575,38.48544118,20.69991851,21.20330925,21.36697713,22.93347608,16.7569735,10.02371513,19.74520438,16.82153116,14.58296913,
Euro area,EMU,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,12.70136841,11.04761821,9.885530571,11.65921671,9.454014468,7.986391684,7.558449789,7.624741484,9.680625608,10.47423712,19.99208062,23.23242034,19.36115659,22.32352039,31.56075779,22.94263128,25.24068787,20.42008686,27.73016631,29.42277041,29.27536368,35.5208861,47.56110348,64.2642674,79.78363099,84.22438712,66.54867178,49.06503289,56.47141492,58.97755277,59.7539955,76.89683365,80.41024154,36.40259686,58.06672788,58.08618919,45.32881391,55.4171989,66.43674706,59.12027983,64.98876141,63.85260641,77.4831404,54.5953143,,
Eritrea,ERI,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,28.92554831,20.25193666,,11.17116744,8.102992319,7.116473813,8.223491638,5.698124965,6.352965591,7.688580031,10.79086024,19.4675516,22.30297111,24.16628055,29.57202245,20.77107362,25.61115092,18.42148505,22.60013641,29.21128062,31.00679027,37.5089136,49.21100056,64.94719078,67.89108456,84.4761604,74.63941364,65.43281816,80.20427462,88.15281836,83.23266494,105.0479801,122.2604393,58.35206706,96.56410928,82.46686909,69.71913015,75.11121371,82.41778215,72.50726214,65.86725775,57.18407929,67.71893184,50.88696804,57.21501696,
Estonia,EST,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,ETH,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union,EUU,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,11.98007211,10.50821215,9.755189495,11.45840907,9.347697897,8.042448223,7.965717275,8.129577675,10.88117786,11.28793795,20.83176479,24.12079255,20.33254674,23.74003624,32.97072104,23.74420622,25.97983235,20.79811657,28.27788709,30.16954176,29.86007416,36.60247618,48.50782679,62.96637375,78.57779492,82.3358704,64.70301728,47.63198459,55.33672386,57.03414009,57.5583635,74.05051235,77.56485507,34.66580294,55.66359071,55.82055797,43.32324506,54.0382316,64.42668679,57.09640739,62.50500778,61.57182375,74.69578721,52.48557448,,
Fragile and conflict affected situations,FCS,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
