,Argentina,Brazil,Chile,China,Colombia,Egypt,Greece,India,Indonesia,Korea,Malaysia,Mexico,Pakistan,Peru,Philippines,Poland,Qatar,Russia,Saudi Arabia,South Africa,Taiwan,Thailand,Turkey,United Arab Emirates
2015-03-18,20.825332999999997,27.072885999999997,34.581936,47.938526,12.553282000000001,53.747887,27.79907,31.394291,24.856102,52.030605,31.544560999999998,52.257233,,25.218975,39.840298,20.763975,18.281641,20.036488000000002,,49.76247,27.617817,68.794128,39.970787,13.958549
2015-03-19,20.547916,26.105377,34.218189,47.8298,12.856291,52.793999,26.771428999999998,30.504608,24.583651,51.357334,30.905146000000002,51.481487,,25.139585,39.244667,20.284397,18.032308999999998,19.145979,,48.062571999999996,27.464005,68.227783,39.577827,13.810637
2015-03-20,21.016655,27.245651000000002,34.741631,47.992886,13.185272,52.188648,28.326065000000003,30.400499,24.819769,51.860046000000004,31.047239,52.2925,,25.377754,39.686584,20.772856,18.490761,19.913656,,49.282066,27.566544,68.90568499999999,40.628563,14.1921
2015-03-23,20.806198000000002,27.789872999999996,35.176342,47.92947,13.133329999999999,52.280369,29.32736,30.428897999999997,24.774363,51.994694,31.236697999999997,52.521694,,25.351288,39.69619,21.279076,18.169039,19.760118,,49.76247,27.600723,68.46804,41.739101,14.352473999999999
2015-03-24,20.60531,27.772596000000004,35.531212,47.739201,13.358421,52.417946,30.407701,30.542471000000003,24.983235999999998,52.13834,31.639290000000003,52.698002,,25.421858,39.705814000000004,21.172504,18.563147,20.174667000000003,,50.597626,27.651996999999998,68.433723,40.884842,14.340015
2015-03-25,20.691408,27.332034999999998,35.540092,47.177448,13.315134,51.133865,29.459114000000003,29.936728000000002,24.365694,51.886978000000006,31.118284000000003,51.931065000000004,,25.192514000000003,39.138996,20.986002,18.563147,20.374261999999998,,49.407707,26.968386,67.30103299999999,40.116001000000004,13.896269
2015-03-26,20.117445,26.744622999999997,35.158596,47.186516,13.124673000000001,50.895401,29.037515999999997,29.548681,24.174984,51.474037,31.378790000000002,51.084793,,24.98081,39.628944,20.781736,18.193172,19.806182999999997,,48.757305,26.951297999999998,67.28388199999999,39.560738,13.919623999999999
2015-03-27,20.165272,26.165848,35.318287,47.875103,13.16796,50.666096,28.721315,29.539213,24.501917000000002,51.456081,31.426153000000003,51.269917,,24.848499,39.897945,20.843904000000002,18.040356,19.42234,,49.082508000000004,26.746214000000002,67.464073,39.278831,13.966335999999998
2015-03-30,20.289629,26.856921999999997,35.513465999999994,49.641876,12.951524000000001,51.363171,28.905764,30.211208000000003,25.083136,51.689484,31.568240999999997,51.243469,,25.192514000000003,40.387896999999995,20.959362,18.602554,20.174667000000003,,49.466834999999996,26.951297999999998,68.05615999999999,40.12455,14.075327
2015-03-31,20.050482000000002,27.098801,35.744125,49.379131,12.873606,51.601634999999995,29.037515999999997,30.277459999999998,25.201197,51.384266,31.473515000000003,51.093616,,25.104303,39.965195,20.763975,18.530973,19.990423,,49.533348,26.900026,68.107651,39.637627,14.075327
2015-04-01,20.174839000000002,27.858982,36.347412,50.185493,13.185272,50.455135,28.747662,30.646584000000004,25.201197,51.518921,31.639290000000003,51.957512,,25.607098,40.666512,20.906076000000002,18.498804,20.773457,,50.560673,26.900026,69.2146,39.663246,14.737054
2015-04-02,20.337463,28.714190000000002,36.693405,50.801613,13.471532999999999,49.712208000000004,29.32736,30.760154999999997,25.101297,52.075497,32.065571000000006,52.698002,,25.854082000000002,41.18528,21.172504,18.977364,21.771445999999997,,51.196281,27.464005,69.95255999999999,40.397923,14.673223000000002
2015-04-06,20.758369000000002,29.085644,37.190224,51.381477000000004,13.809839000000002,49.52877,29.933405,30.96838,25.400988,52.766723999999996,32.610256,53.764656,,26.012860999999997,41.233315000000005,21.501106,18.952607999999998,22.293470000000003,,52.142311,27.583633000000003,69.926819,41.636593,14.980556
2015-04-07,20.815767,28.938789,37.207962,51.417713,13.71442,48.877556,29.011158000000002,30.939984999999997,25.31925,52.165268,32.373432,53.711760999999996,,25.986391,40.95472,21.234674,18.818943,22.38559,,51.484535,27.327282,70.433098,40.628563,15.249275
2015-04-08,20.930560999999997,29.603946999999998,37.154736,54.55260500000001,13.749117000000002,50.445969,29.169262,31.186064000000002,25.255684,52.739788,32.515526,53.729393,,25.871721,40.983536,21.545513,18.911354,22.692663,,51.913197,27.070929,70.518913,40.884842,15.350929
2015-04-09,21.054920000000003,29.534832,37.163609,56.93549300000001,13.818512,50.427628000000006,28.905764,31.384822999999997,25.419151,52.58718100000001,32.562893,53.024174,,25.845257,41.118034,21.456701000000002,18.828842,23.291452,,51.868854999999996,27.070929,70.630463,40.936091999999995,15.437616
2015-04-10,21.102747,29.759438,36.977306,56.400921,13.948632,50.977942999999996,29.169262,31.545725,25.301088,53.502834,32.112934,52.671551,,25.8188,41.242924,21.279076,18.828842,22.569834,,52.112759000000004,27.344371999999996,70.58757,40.602936,15.366693
2015-04-13,20.911427,29.189299,36.915199,56.872066000000004,13.601652,50.730297,28.668612,31.432147999999998,24.710789000000002,53.341248,31.426153000000003,52.116188,,25.63356,40.435936,21.092573,18.56481,22.80014,,51.344097,27.173468,70.35588100000001,39.048187,15.398216
2015-04-14,21.016655,29.698973,37.057144,56.364684999999994,13.688396,51.014629,28.062571000000002,31.451077,24.837933,54.274853,31.639290000000003,52.504059,,25.836439000000002,40.532009,21.350126,18.696825,23.199331,,51.817116,27.019657000000002,70.819252,39.381347999999996,15.443132
2015-04-15,21.188843,30.441877,37.403137,56.60025400000001,14.070075,50.170807,27.403821999999998,31.328034999999996,25.064970000000002,54.598022,32.041885,52.883118,,26.14517,40.099682,21.714249,18.696825,24.304794,,51.595394,26.985478999999998,71.162483,38.646687,15.847395
2015-04-16,21.045353,30.476433,37.704781,57.47911800000001,14.217541,49.326984,27.351124,30.94945,25.128544,55.226414,32.491848,53.350342000000005,,26.180456,40.166939,22.096138,19.010366,24.274085999999997,,52.696629,27.173468,72.27803,39.355721,16.257170000000002
2015-04-17,20.662708,29.828546999999997,37.482986,55.467705,14.347660999999999,49.189407,27.58827,30.504608,25.046806,54.777565,32.420799,52.539322,,26.056963,40.253407,22.007324,18.606066000000002,22.922966,,51.698859999999996,26.951297999999998,72.20079,39.500946,16.399017
2015-04-20,20.672279,29.802633,37.074898,55.775764,14.139469,47.877811,26.903173,29.690649,24.756199,55.432883999999994,32.539207,52.169086,,26.012860999999997,39.994015000000005,22.184948000000002,18.647323999999998,22.661955,,51.196281,27.053836999999998,71.548653,39.031096999999995,16.298941
2015-04-21,20.691408,29.793995000000002,37.181346999999995,56.980793000000006,13.835863,47.731056,26.270781,29.472965000000002,25.001402,55.154598,32.704987,52.310131,,25.986391,39.821083,22.096138,18.952607999999998,22.876901999999998,,51.521481,27.036745,72.063499,40.056213,16.312338
2015-04-22,20.901861,30.562807,37.136990000000004,58.049918999999996,13.939957000000001,48.932587,27.43017,29.775831,25.201197,55.585487,32.776031,52.221973,,26.101065,39.725018,22.353689000000003,19.076376,22.999733,,51.358875,27.515273999999998,71.445663,39.680336,16.477819
2015-04-23,21.313204000000002,31.331622999999997,37.482986,57.560658,13.974654999999998,48.565712,27.77272,29.340458,25.101297,56.483192,32.870758,52.839045999999996,,26.251022,40.263003999999995,22.486906,19.142384,23.46034,,52.068401,28.284334,70.827827,40.081837,16.556625
2015-04-24,21.141014000000002,32.1091,37.88221,57.569717000000004,14.477777,48.877556,28.879414,28.630608000000002,24.910585,56.231834,33.297039,53.156399,47.835976,26.356876,40.378288,22.273757999999997,19.101128,23.583172,,52.267959999999995,28.745773,70.870728,40.346657,16.572388
2015-04-27,21.294069,31.798113,38.450001,58.348915000000005,14.928853,47.309146999999996,30.513105,28.384528999999997,23.966108,56.249790000000004,33.510174,53.050613,47.835976,26.647961,40.368683000000004,22.771099,19.063997,23.030441,,52.497069999999994,29.104664,70.270081,41.294891,16.65119
2015-04-28,21.466259,31.82403,38.334666999999996,58.376098999999996,15.197761999999999,47.199081,30.565797999999997,28.668465,23.666418,56.411373,33.699631,53.147579,47.545227000000004,26.894951000000002,40.426331,22.975368,19.330505,23.368221,,53.650040000000004,28.882492,69.523514,41.66222,16.674831
2015-04-29,21.150581,31.443929999999998,37.731392,57.615021,15.562095000000001,47.024811,30.513105,28.19523,23.121527,55.621407,33.249668,52.742073,47.28508,26.886128999999997,39.936367,22.824389,19.167137,23.383577,,53.088341,28.609049,68.287849,41.380309999999994,16.682713
2015-04-30,21.064482,31.279806,37.456371000000004,56.790527000000004,15.353907000000001,48.565712,32.56839,27.816647999999997,22.485823,54.91222,32.231342,51.675419,47.376896,26.965513,38.697063,22.797745000000003,19.307404000000002,23.352867,,52.245785,28.096342,67.601357,40.064754,16.706352
2015-05-01,21.284502,31.279806,37.828979,57.316029,15.37125,49.143543,32.858242,28.005939,22.558475,54.903243999999994,32.397121000000006,51.419777,47.560532,27.256607000000002,38.706672999999995,22.815506,19.142384,23.506404999999997,,52.194046,28.335608,67.772987,40.004954999999995,16.942764
2015-05-04,21.676714,31.210701,37.482986,57.787174,15.343372,49.52877,31.382648,28.64007,23.176014000000002,55.370041,32.491848,52.028038,47.499321,27.41538,39.648159,22.93096,19.331568,23.521759,,51.588013000000004,28.318512,67.858795,39.919525,16.292271
2015-05-05,21.51409,31.60807,38.06852,56.029456999999994,15.378223,49.43705,30.249599,28.677933000000003,23.021632999999998,54.741657,32.373432,52.195522,47.070847,27.57416,39.648159,22.691167999999998,19.204345999999997,24.043779,,51.728428,28.113434,67.077911,39.441146999999994,16.22683
2015-05-06,21.217541,31.366191999999998,38.272568,54.824413,15.430501000000001,49.345325,32.700138,27.769322999999996,23.094284,54.17610500000001,32.373432,52.028038,47.646217,27.380102,39.417587,23.081936,19.204345999999997,23.859535,,50.90065,28.079252,66.863396,39.193413,16.100672
2015-05-07,20.787066,31.504409999999996,38.396770000000004,54.525425,15.465351,49.43705,33.569679,27.939686,23.148773000000002,53.60158199999999,32.25502,51.904621,47.637039,27.327173,39.427197,23.277319,19.364611,23.905598,,50.301998,28.010890999999997,66.571655,39.723045,15.982403
2015-05-08,20.920994,32.126373,38.725029,55.793884,15.430501000000001,49.969021000000005,33.332535,28.592752,23.339482999999998,53.843959999999996,32.397121000000006,52.86549,47.407497,27.062546,39.254272,23.215153,19.430706,23.997723,,51.026286999999996,28.096342,67.30103299999999,40.278316,16.152714000000003
2015-05-11,20.930560999999997,31.418020000000002,38.804871,55.431461,15.282379999999998,48.96928,31.988695,28.630608000000002,23.048878,53.197613,31.876114,52.34539,45.95681,27.221322999999998,38.812346999999995,22.779982,19.240692000000003,24.07449,,50.228085,27.839990999999998,65.85083,40.355202,15.887785999999998
2015-05-12,21.074049,31.547590000000003,38.866974,55.150597,15.108123999999998,48.785835,32.41029,27.930225,23.067035999999998,53.206593000000005,31.899796000000002,52.045666,46.489346000000005,27.300711,39.100555,22.753338,19.405920000000002,24.427622,,50.213299,27.822896999999998,65.16435200000001,41.226543,16.116442000000003
2015-05-13,21.198407999999997,31.184778,38.716156,54.652264,15.195256,47.446723999999996,32.30489,28.308807,23.530197,53.538742000000006,31.994521999999996,52.274864,46.45874,27.600626000000002,39.187019,22.993129999999997,19.298525,24.304794,,51.055865999999995,28.096342,65.859413,42.046634999999995,16.16375
2015-05-14,21.380164999999998,31.798113,39.05328,55.041869999999996,14.960004000000001,46.593727,33.464283,28.715790000000002,23.68458,54.158156999999996,32.491848,53.288635,46.611767,27.715297999999997,39.801865,23.250675,19.377007,24.212673000000002,,51.447575,27.959621000000002,66.460083,43.439075,16.203173
2015-05-15,21.246237,32.074546999999995,39.239582,55.984161,14.899017,47.098186,32.726486,28.810436,23.68458,53.65544499999999,32.633938,53.658863000000004,46.382225,27.821144,40.166939,23.552637,19.554625,24.596512,,51.824509,28.045071000000004,67.043594,43.823498,16.289907
2015-05-18,21.284502,31.210701,38.9202,55.349918,14.73347,49.43705,32.858242,28.933477000000003,23.466625,53.35023100000001,32.491848,53.359145999999996,46.244499,27.344815999999998,39.974796000000005,23.099701,19.48027,24.350859,,51.388447,27.976713,66.717506,44.03706,16.242598
2015-05-19,21.026220000000002,30.701031,38.201595000000005,55.947899,14.472086,49.198574,33.042685999999996,28.924011,23.711826000000002,53.47590600000001,32.018204,52.900753,45.999664,27.044905,39.638554,22.913197,19.323304999999998,23.93631,,51.336712,28.403969,67.34393299999999,43.772242999999996,16.203173
2015-05-20,20.94969,30.752857000000002,37.95319,55.531136,14.376244,49.16188,33.09539,29.378317,23.866211,53.781119999999994,32.136612,52.89193,45.684425,26.991978000000003,39.965195,22.646763,19.226648,23.491053,,51.565822999999995,28.198883000000002,66.914879,43.652637,16.305676000000002
2015-05-21,20.94969,30.433231,37.970932,55.304626,14.541788,50.024055,33.174438,29.217416999999998,24.138657000000002,53.47590600000001,31.994521999999996,52.601032,45.693607,26.947876,40.022835,22.566835,19.315044,23.828829000000002,,51.440182,28.045071000000004,67.772987,42.960693,16.431832999999997
2015-05-22,20.892295999999998,29.543476000000002,37.713654,56.899246,14.541788,50.537689,32.542046,29.368853,23.902538,53.745213,31.686659000000002,52.248421,45.803787,26.842024,39.446411,22.113899,19.348091,23.844181,,51.078026,28.096342,67.026436,42.405418,16.187407
2015-05-26,20.260932999999998,28.541420000000002,37.287811,57.13481899999999,13.992876999999998,49.813103000000005,30.486748,28.630608000000002,23.666418,52.847515,30.786737,51.622536,45.326347,26.409798,38.658646000000005,21.092573,19.224171,23.260745999999997,,49.045547,27.959621000000002,65.258736,40.654194,16.13221
2015-05-27,20.241802,28.886955,37.225704,57.080459999999995,13.9406,49.794762,33.016335,28.715790000000002,23.584684,52.057541,30.881462,51.931065000000004,45.907845,26.224558000000002,38.408854999999996,21.474460999999998,18.885454,22.969027,,49.208149,28.386877000000002,65.43895699999999,41.269259999999996,15.95086
2015-05-28,20.136574,28.645082000000002,37.048275,55.059993999999996,13.522383999999999,48.639084000000004,32.621086,28.56435,23.430298,51.913906,30.668325,51.922249,45.663002,26.127531,37.717144,21.341242,18.637613,22.784784,,48.749916,28.267246000000004,65.01847099999999,40.807957,15.753741
2015-05-29,20.098309,27.876259,36.604690999999995,54.226429,13.504954999999999,48.501507000000004,32.094093,28.914547,23.348566,51.886978000000006,30.407823999999998,51.578457,46.213898,26.074606,38.091824,21.492226000000002,19.149820000000002,22.339525,,48.047794,27.925441999999997,65.32738499999999,39.979332,15.730089000000001
2015-06-01,20.117445,28.066301,36.125622,54.824413,13.504954999999999,47.721886,32.14679,28.791508,23.012548000000002,51.384266,30.099957,51.287548,47.040237,26.021681,38.245540999999996,21.394533,19.257215,21.556494,,47.412182,27.66909,64.975563,38.834614,15.446238000000001
2015-06-02,20.700974,29.016529,35.930439,54.733821999999996,13.879609,48.16214,32.937286,28.261488,23.057957000000002,51.231659,30.431497999999998,51.604904,47.383018,26.504137,37.553837,21.589920000000003,18.910235999999998,22.462355,,47.57478,27.651996999999998,64.75248,39.295925,15.98494
2015-06-03,20.51922,28.740105,35.682021999999996,55.168709,13.565947,48.905071,33.622378999999995,27.703072,22.676533,50.899513,30.407823999999998,51.199394,47.529919,26.397515999999996,37.726753,21.412295999999998,18.877193,21.771445999999997,,46.532665,27.600723,64.92408,40.133095000000004,15.968928
2015-06-04,20.60531,28.325454999999998,35.291672,54.679455000000004,13.252282999999998,48.905071,31.646146999999996,27.693603999999997,22.258785,50.549408,29.863128999999997,50.864407,47.407497,26.228703999999997,37.428936,21.030409,18.563259,20.773457,,45.660553,26.660763,64.735291,39.654709000000004,15.904895999999999
2015-06-05,20.51922,28.26499,35.123112,54.30798000000001,13.173867000000001,48.354755,30.96105,27.71254,22.140722,50.127491,29.531582,50.2826,47.309566,26.113195,37.054264,20.923835999999998,18.563259,21.218712,,45.579254,26.50695,65.224411,39.654709000000004,15.656754999999999
2015-06-08,20.394861,28.550056,35.185215,54.425766,13.069311,47.694365999999995,29.986103000000004,27.352878999999998,21.795628,50.163399,29.436854999999998,50.547058,46.979034000000006,26.051001,36.948586,21.057049,18.505432,21.218712,,45.926617,26.575314000000002,65.499016,37.032139,15.784825
