date,AUSTRALIA,AUSTRIA,BELGIUM,BRAZIL,CHILE,CHINA,COLOMBIA,CZECH REPUBLIC,DENMARK,EGYPT,FINLAND,FRANCE,GERMANY,GREECE,HONG KONG,HUNGARY,INDIA,INDONESIA,IRELAND,ITALY,JAPAN,MALAYSIA,MEXICO,NETHERLANDS,NEW ZEALAND,NORWAY,PHILIPPINES,POLAND,PORTUGAL,SINGAPORE,SOUTH AFRICA,SOUTH KOREA,SPAIN,SWEDEN,SWITZERLAND,TAIWAN,THAILAND,TURKEY,UNITED KINGDOM
1986-08-05,0.0059448726,,,,,,,,0.023387417,,,,,,-0.008563734,,,,,,0.0126316997,,,,,,,,,0.0118634872,,,,0.0012949211,0.0046843779,,,,0.0068678024
1986-08-06,0.011697596599999999,,,,,,,,0.0099477462,,,,,,0.0003771446,,,,,,-0.006614659,,,,,,,,,0.004064300900000001,,,,-0.013219165,0.0007017713,,,,-0.01474041
1986-08-07,0.0061864353,,,,,,,,0.0104899327,,,,,,0.0144109221,,,,,,0.0058256793999999995,,,,,,,,,-0.001782213,,,,0.007548804,0.0027016657,,,,-0.00900532
1986-08-08,0.0005316034,,,,,,,,-0.004581349,,,,,,0.006888854200000001,,,,,,-0.000207175,,,,,,,,,0.0059358095,,,,0.012893804299999999,0.013526231100000001,,,,-0.002834224
1986-08-11,0.0019503893,,,,,,,,-0.00466719,,,,,,-0.002827128,,,,,,0.0065808766000000005,,,,,,,,,0.0137550739,,,,0.0062002417,0.0228551488,,,,0.008092269499999999
1986-08-12,,,,,,,,,-0.00366034,,,,,,-0.01355324,,,,,,0.023102073799999998,,,,,,,,,,,,,0.0055050071,0.0175563346,,,,0.0138883538
1986-08-13,0.0122845677,,,,,,,,-0.003930843,,,,,,-0.000228549,,,,,,0.016911393700000003,,,,,,,,,0.0372261151,,,,-0.0007735060000000001,0.0020218828,,,,0.0140188147
1986-08-14,,,,,,,,,-0.015676497,,,,,,0.0071003472,,,,,,0.013450882800000001,,,,,,,,,,,,,0.00021078060000000003,-0.002747747,,,,0.0042206906
1986-08-15,,,,,,,,,-0.021633121,,,,,,0.004314425,,,,,,0.0102607708,,,,,,,,,,,,,-0.002758575,0.0036576343,,,,0.0093915895
1986-08-18,,,,,,,,,0.004103587,,,,,,0.006303368,,,,,,0.011940854099999999,,,,,,,,,,,,,-0.000539313,0.0039744105,,,,0.0048028172
1986-08-19,-0.003374554,,,,,,,,-0.01374859,,,,,,-0.00662194,,,,,,0.0113885238,,,,,,,,,-0.006122511999999999,,,,-0.010986868,0.0033265789,,,,-0.001708742
1986-08-20,,,,,,,,,0.0140275041,,,,,,,,,,,,0.0069391827,,,,,,,,,,,,,0.002403082,-0.006993845,,,,-0.0025719320000000003
1986-08-21,-0.006408262,,,,,,,,0.0032805806,,,,,,0.009883696899999999,,,,,,-0.004257885,,,,,,,,,0.0068324565,,,,0.0002059253,0.0137223373,,,,0.0023498798000000003
1986-08-22,-0.002626937,,,,,,,,,,,,,,0.0043159549,,,,,,-0.015398627,,,,,,,,,-0.002817612,,,,0.0037406273,0.0069842474,,,,-0.002324656
1986-08-25,-0.005088680999999999,,,,,,,,-0.007041746999999999,,,,,,,,,,,,0.0030137102000000002,,,,,,,,,0.002141557,,,,-0.006703687,0.0060772757,,,,
1986-08-26,0.0017908927,,,,,,,,-0.005115372,,,,,,-0.014539947,,,,,,0.0017203620999999998,,,,,,,,,-0.011970493,,,,-0.007884113,-0.003296134,,,,0.0046775071000000005
1986-08-27,0.0031543968,,,,,,,,-0.012818595,,,,,,0.006658103,,,,,,-0.014483058,,,,,,,,,0.0158242936,,,,0.0018618223999999999,0.0097755436,,,,0.0045622636
1986-08-28,0.0007917881,,,,,,,,0.0103845618,,,,,,-0.00290182,,,,,,-0.009535511,,,,,,,,,0.0006026561000000001,,,,-0.007109515,0.0044516976,,,,0.0064575597
1986-08-29,0.0047618205,,,,,,,,0.0051799576,,,,,,-0.012768241000000001,,,,,,0.007688568000000001,,,,,,,,,0.0095496783,,,,-0.00263755,-0.004398321,,,,0.0135483149
1986-09-01,0.0021522962,,,,,,,,0.0039546208,,,,,,-0.005793638,,,,,,0.0104736838,,,,,,,,,0.0170992701,,,,-0.017064003,-0.004253821,,,,0.0089132518
1986-09-02,0.009338389,,,,,,,,-0.011088509,,,,,,0.0118753175,,,,,,-0.007841146,,,,,,,,,-0.005704364,,,,0.0116195801,0.0086931937,,,,-0.0064885130000000004
1986-09-03,0.0066211468999999995,,,,,,,,-0.009093501,,,,,,0.0073408768999999995,,,,,,-0.011274445,,,,,,,,,-0.01419485,,,,0.0021139126,0.0077590513,,,,0.0032392181
1986-09-04,0.0084119321,,,,,,,,-0.005850499,,,,,,7.596850000000001e-05,,,,,,0.0035389665000000003,,,,,,,,,-0.007871755,,,,-0.011668784,0.0054622104000000005,,,,0.004827842299999999
1986-09-05,0.007644623499999999,,,,,,,,0.0070449885,,,,,,0.0156852608,,,,,,0.0153573448,,,,,,,,,0.0105890248,,,,0.0098203936,0.007795175600000001,,,,0.0029597990000000004
1986-09-08,-0.000282537,,,,,,,,0.006680210799999999,,,,,,-0.00226343,,,,,,-0.011633066999999999,,,,,,,,,0.0018950878,,,,-0.001199503,-0.002445648,,,,-0.010556382
1986-09-09,-0.013151096000000001,,,,,,,,-0.0009260160000000001,,,,,,-0.00294682,,,,,,-0.003833209,,,,,,,,,-0.0027501129999999998,,,,0.0106188738,-0.005479841,,,,0.006414489200000001
1986-09-10,0.0114732967,,,,,,,,0.014054591100000001,,,,,,0.0032608361,,,,,,0.0117440583,,,,,,,,,-0.009138229,,,,0.025347092,-0.009007125999999999,,,,-0.006613924
1986-09-11,0.0006648492999999999,,,,,,,,0.007080302199999999,,,,,,0.014058221299999998,,,,,,-0.000284619,,,,,,,,,0.013855758700000002,,,,-0.035030239,0.007877035,,,,-0.007385004000000001
1986-09-12,0.0026066386,,,,,,,,-0.002678743,,,,,,-0.011360853999999998,,,,,,-0.023563301000000002,,,,,,,,,-0.007090754,,,,-0.016619573000000002,-0.02547662,,,,-0.025647347
1986-09-15,-0.008314999,,,,,,,,-0.011125088,,,,,,-0.005335131999999999,,,,,,,,,,,,,,,-0.008644414,,,,0.0085121911,-0.000291519,,,,0.012870727299999999
1986-09-16,0.0006259621,,,,,,,,0.0055649218999999995,,,,,,-0.009451089000000001,,,,,,-0.036130606,,,,,,,,,-0.006213936999999999,,,,0.0067656289,-0.0062729280000000005,,,,-0.02299163
1986-09-17,-0.00895136,,,,,,,,0.0017885445000000002,,,,,,-0.004492709,,,,,,-0.0030826440000000003,,,,,,,,,-0.006514366,,,,-0.01125065,-0.009010498,,,,0.0063547493
1986-09-18,-0.014759771000000001,,,,,,,,-0.00308816,,,,,,0.005481031700000001,,,,,,0.0057698787,,,,,,,,,0.0052138741999999995,,,,-2.6545e-05,-0.02310575,,,,0.0074720129
